date,geo_value,daily_hosp_admits,pop
2023-11-05,CA,28,39512223
2023-11-06,CA,31,39512223
2023-11-07,CA,43,39512223
2023-11-08,CA,30,39512223
2023-11-09,CA,57,39512223
2023-11-10,CA,47,39512223
2023-11-11,CA,66,39512223
2023-11-12,CA,94,39512223
2023-11-13,CA,66,39512223
2023-11-14,CA,81,39512223
2023-11-15,CA,93,39512223
2023-11-16,CA,122,39512223
2023-11-17,CA,146,39512223
2023-11-18,CA,119,39512223
2023-11-19,CA,176,39512223
2023-11-20,CA,209,39512223
2023-11-21,CA,199,39512223
2023-11-22,CA,225,39512223
2023-11-23,CA,228,39512223
2023-11-24,CA,260,39512223
2023-11-25,CA,280,39512223
2023-11-26,CA,281,39512223
2023-11-27,CA,306,39512223
2023-11-28,CA,328,39512223
2023-11-29,CA,336,39512223
2023-11-30,CA,361,39512223
2023-12-01,CA,365,39512223
2023-12-02,CA,403,39512223
2023-12-03,CA,457,39512223
2023-12-04,CA,433,39512223
2023-12-05,CA,399,39512223
2023-12-06,CA,434,39512223
2023-12-07,CA,449,39512223
2023-12-08,CA,442,39512223
2023-12-09,CA,507,39512223
2023-12-10,CA,524,39512223
2023-12-11,CA,552,39512223
2023-12-12,CA,528,39512223
2023-12-13,CA,460,39512223
2023-12-14,CA,554,39512223
2023-12-15,CA,611,39512223
2023-12-16,CA,506,39512223
2023-12-17,CA,546,39512223
2023-12-18,CA,598,39512223
2023-12-19,CA,566,39512223
2023-12-20,CA,554,39512223
2023-12-21,CA,490,39512223
2023-12-22,CA,566,39512223
2023-12-23,CA,537,39512223
2023-12-24,CA,491,39512223
2023-12-25,CA,491,39512223
2023-12-26,CA,445,39512223
2023-12-27,CA,424,39512223
2023-12-28,CA,470,39512223
2023-12-29,CA,467,39512223
2023-12-30,CA,373,39512223
2023-12-31,CA,449,39512223
2024-01-01,CA,347,39512223
2024-01-02,CA,317,39512223
2024-01-03,CA,361,39512223
2024-01-04,CA,290,39512223
2024-01-05,CA,269,39512223
2024-01-06,CA,238,39512223
2024-01-07,CA,224,39512223
2024-01-08,CA,201,39512223
2024-01-09,CA,185,39512223
2024-01-10,CA,199,39512223
2024-01-11,CA,179,39512223
2024-01-12,CA,168,39512223
2024-01-13,CA,143,39512223
2024-01-14,CA,142,39512223
2024-01-15,CA,128,39512223
2024-01-16,CA,109,39512223
2024-01-17,CA,108,39512223
2024-01-18,CA,79,39512223
2024-01-19,CA,81,39512223
2024-01-20,CA,69,39512223
2024-01-21,CA,66,39512223
2024-01-22,CA,42,39512223
2024-01-23,CA,57,39512223
2024-01-24,CA,50,39512223
2024-01-25,CA,50,39512223
2024-01-26,CA,45,39512223
2024-01-27,CA,33,39512223
2024-01-28,CA,25,39512223
2024-01-29,CA,25,39512223
2024-01-30,CA,19,39512223
2024-01-31,CA,23,39512223
2024-02-01,CA,18,39512223
2024-02-02,CA,17,39512223
2024-02-03,CA,11,39512223
2024-02-04,CA,13,39512223
2024-02-05,CA,10,39512223
2024-02-06,CA,17,39512223
2024-02-07,CA,9,39512223
2024-02-08,CA,13,39512223
2024-02-09,CA,14,39512223
2024-02-10,CA,14,39512223
2024-02-11,CA,14,39512223
2024-02-12,CA,11,39512223
2024-02-13,CA,10,39512223
2024-02-14,CA,11,39512223
2024-02-15,CA,20,39512223
2024-02-16,CA,17,39512223
2024-02-17,CA,17,39512223
2024-02-18,CA,12,39512223
2024-02-19,CA,12,39512223
2024-02-20,CA,11,39512223
2024-02-21,CA,14,39512223
2024-02-22,CA,12,39512223
2024-02-23,CA,11,39512223
2024-02-24,CA,18,39512223
2024-02-25,CA,15,39512223
2024-02-26,CA,15,39512223
2024-02-27,CA,18,39512223
2024-02-28,CA,23,39512223
2024-02-29,CA,13,39512223
2024-03-01,CA,16,39512223
2024-03-02,CA,23,39512223
2024-03-03,CA,13,39512223
2024-03-04,CA,24,39512223
2024-03-05,CA,23,39512223
2024-03-06,CA,26,39512223
2024-03-07,CA,25,39512223
2024-03-08,CA,19,39512223
2024-03-09,CA,21,39512223
