week_end,weekly_hosp_admits,location,pop
2023-11-11,341,CA,39512223
2023-11-18,624,CA,39512223
2023-11-25,1223,CA,39512223
2023-12-02,2450,CA,39512223
2023-12-09,3227,CA,39512223
2023-12-16,4341,CA,39512223
2023-12-23,4710,CA,39512223
2023-12-30,3924,CA,39512223
2024-01-06,2067,CA,39512223
2024-01-13,1627,CA,39512223
2024-01-20,625,CA,39512223
2024-01-27,336,CA,39512223
2024-02-03,151,CA,39512223
2024-02-10,93,CA,39512223
2024-02-17,70,CA,39512223
2024-02-24,79,CA,39512223
2024-03-02,114,CA,39512223
2024-03-09,147,CA,39512223
