date,geo_value,disease,ed_visits
2023-11-05,CA,COVID-19,95
2023-11-06,CA,COVID-19,125
2023-11-07,CA,COVID-19,138
2023-11-08,CA,COVID-19,136
2023-11-09,CA,COVID-19,172
2023-11-10,CA,COVID-19,161
2023-11-11,CA,COVID-19,155
2023-11-12,CA,COVID-19,133
2023-11-13,CA,COVID-19,273
2023-11-14,CA,COVID-19,263
2023-11-15,CA,COVID-19,360
2023-11-16,CA,COVID-19,296
2023-11-17,CA,COVID-19,202
2023-11-18,CA,COVID-19,272
2023-11-19,CA,COVID-19,312
2023-11-20,CA,COVID-19,510
2023-11-21,CA,COVID-19,448
2023-11-22,CA,COVID-19,591
2023-11-23,CA,COVID-19,529
2023-11-24,CA,COVID-19,476
2023-11-25,CA,COVID-19,403
2023-11-26,CA,COVID-19,536
2023-11-27,CA,COVID-19,603
2023-11-28,CA,COVID-19,1160
2023-11-29,CA,COVID-19,989
2023-11-30,CA,COVID-19,769
2023-12-01,CA,COVID-19,901
2023-12-02,CA,COVID-19,750
2023-12-03,CA,COVID-19,617
2023-12-04,CA,COVID-19,651
2023-12-05,CA,COVID-19,729
2023-12-06,CA,COVID-19,885
2023-12-07,CA,COVID-19,1026
2023-12-08,CA,COVID-19,792
2023-12-09,CA,COVID-19,675
2023-12-10,CA,COVID-19,772
2023-12-11,CA,COVID-19,896
2023-12-12,CA,COVID-19,623
2023-12-13,CA,COVID-19,786
2023-12-14,CA,COVID-19,777
2023-12-15,CA,COVID-19,904
2023-12-16,CA,COVID-19,561
2023-12-17,CA,COVID-19,531
2023-12-18,CA,COVID-19,983
2023-12-19,CA,COVID-19,973
2023-12-20,CA,COVID-19,583
2023-12-21,CA,COVID-19,504
2023-12-22,CA,COVID-19,660
2023-12-23,CA,COVID-19,647
2023-12-24,CA,COVID-19,490
2023-12-25,CA,COVID-19,721
2023-12-26,CA,COVID-19,659
2023-12-27,CA,COVID-19,479
2023-12-28,CA,COVID-19,352
2023-12-29,CA,COVID-19,348
2023-12-30,CA,COVID-19,320
2023-12-31,CA,COVID-19,229
2024-01-01,CA,COVID-19,269
2024-01-02,CA,COVID-19,309
2024-01-03,CA,COVID-19,326
2024-01-04,CA,COVID-19,277
2024-01-05,CA,COVID-19,235
2024-01-06,CA,COVID-19,167
2024-01-07,CA,COVID-19,116
2024-01-08,CA,COVID-19,168
2024-01-09,CA,COVID-19,129
2024-01-10,CA,COVID-19,165
2024-01-11,CA,COVID-19,91
2024-01-12,CA,COVID-19,91
2024-01-13,CA,COVID-19,54
2024-01-14,CA,COVID-19,68
2024-01-15,CA,COVID-19,88
2024-01-16,CA,COVID-19,82
2024-01-17,CA,COVID-19,64
2024-01-18,CA,COVID-19,47
2024-01-19,CA,COVID-19,40
2024-01-20,CA,COVID-19,30
2024-01-21,CA,COVID-19,28
2024-01-22,CA,COVID-19,34
2024-01-23,CA,COVID-19,27
2024-01-24,CA,COVID-19,27
2024-01-25,CA,COVID-19,43
2024-01-26,CA,COVID-19,29
2024-01-27,CA,COVID-19,21
2024-01-28,CA,COVID-19,20
2024-01-29,CA,COVID-19,28
2024-01-30,CA,COVID-19,20
2024-01-31,CA,COVID-19,23
2024-02-01,CA,COVID-19,19
2024-02-02,CA,COVID-19,23
2024-02-03,CA,COVID-19,16
2024-02-04,CA,COVID-19,15
2024-02-05,CA,COVID-19,13
2024-02-06,CA,COVID-19,13
2024-02-07,CA,COVID-19,13
2024-02-08,CA,COVID-19,13
2024-02-09,CA,COVID-19,11
2024-02-10,CA,COVID-19,9
2024-02-11,CA,COVID-19,13
2024-02-12,CA,COVID-19,9
2024-02-13,CA,COVID-19,36
2024-02-14,CA,COVID-19,25
2024-02-15,CA,COVID-19,18
2024-02-16,CA,COVID-19,26
2024-02-17,CA,COVID-19,18
2024-02-18,CA,COVID-19,23
2024-02-19,CA,COVID-19,25
2024-02-20,CA,COVID-19,34
2024-02-21,CA,COVID-19,20
2024-02-22,CA,COVID-19,21
2024-02-23,CA,COVID-19,32
2024-02-24,CA,COVID-19,24
2024-02-25,CA,COVID-19,27
2024-02-26,CA,COVID-19,36
2024-02-27,CA,COVID-19,44
2024-02-28,CA,COVID-19,39
2024-02-29,CA,COVID-19,46
2024-03-01,CA,COVID-19,23
2024-03-02,CA,COVID-19,35
2024-03-03,CA,COVID-19,29
2024-03-04,CA,COVID-19,34
2024-03-05,CA,COVID-19,27
2024-03-06,CA,COVID-19,39
2024-03-07,CA,COVID-19,31
2024-03-08,CA,COVID-19,27
2024-03-09,CA,COVID-19,13
