t	lab_wwtp_unique_id	log_conc	date	lod_sewage	below_LOD	daily_hosp_admits	daily_hosp_admits_for_eval	pop	forecast_date	hosp_calibration_time	site	ww_pop	inf_per_capita
1	1		2023-10-30			6	6	1e+06	2024-02-05	90	1	4e+05	0.000663426572737469
1	2		2023-10-30			6	6	1e+06	2024-02-05	90	1	4e+05	0.000663426572737469
1	3		2023-10-30			6	6	1e+06	2024-02-05	90	2	2e+05	0.000663426572737469
1	4		2023-10-30			6	6	1e+06	2024-02-05	90	3	1e+05	0.000663426572737469
1	5		2023-10-30			6	6	1e+06	2024-02-05	90	4	50000	0.000663426572737469
2	1		2023-10-31			8	8	1e+06	2024-02-05	90	1	4e+05	0.00068300916315395
2	2		2023-10-31			8	8	1e+06	2024-02-05	90	1	4e+05	0.00068300916315395
2	3	8.36481035293498	2023-10-31	4.01075017260572	0	8	8	1e+06	2024-02-05	90	2	2e+05	0.00068300916315395
2	4		2023-10-31			8	8	1e+06	2024-02-05	90	3	1e+05	0.00068300916315395
2	5		2023-10-31			8	8	1e+06	2024-02-05	90	4	50000	0.00068300916315395
3	1		2023-11-01			4	4	1e+06	2024-02-05	90	1	4e+05	0.000720865160318388
3	2		2023-11-01			4	4	1e+06	2024-02-05	90	1	4e+05	0.000720865160318388
3	3		2023-11-01			4	4	1e+06	2024-02-05	90	2	2e+05	0.000720865160318388
3	4		2023-11-01			4	4	1e+06	2024-02-05	90	3	1e+05	0.000720865160318388
3	5		2023-11-01			4	4	1e+06	2024-02-05	90	4	50000	0.000720865160318388
4	1	8.06994711561617	2023-11-02	3.80549506716936	0	8	8	1e+06	2024-02-05	90	1	4e+05	0.00076104521535863
4	2		2023-11-02			8	8	1e+06	2024-02-05	90	1	4e+05	0.00076104521535863
4	3		2023-11-02			8	8	1e+06	2024-02-05	90	2	2e+05	0.00076104521535863
4	4		2023-11-02			8	8	1e+06	2024-02-05	90	3	1e+05	0.00076104521535863
4	5		2023-11-02			8	8	1e+06	2024-02-05	90	4	50000	0.00076104521535863
5	1		2023-11-03			4	4	1e+06	2024-02-05	90	1	4e+05	0.000803295962116898
5	2		2023-11-03			4	4	1e+06	2024-02-05	90	1	4e+05	0.000803295962116898
5	3		2023-11-03			4	4	1e+06	2024-02-05	90	2	2e+05	0.000803295962116898
5	4		2023-11-03			4	4	1e+06	2024-02-05	90	3	1e+05	0.000803295962116898
5	5		2023-11-03			4	4	1e+06	2024-02-05	90	4	50000	0.000803295962116898
6	1		2023-11-04			6	6	1e+06	2024-02-05	90	1	4e+05	0.000848573477258153
6	2		2023-11-04			6	6	1e+06	2024-02-05	90	1	4e+05	0.000848573477258153
6	3		2023-11-04			6	6	1e+06	2024-02-05	90	2	2e+05	0.000848573477258153
6	4		2023-11-04			6	6	1e+06	2024-02-05	90	3	1e+05	0.000848573477258153
6	5		2023-11-04			6	6	1e+06	2024-02-05	90	4	50000	0.000848573477258153
