date,geo_value,daily_hosp_admits,pop
2023-11-06,CA,5,39512223
2023-11-07,CA,13,39512223
2023-11-08,CA,15,39512223
2023-11-09,CA,26,39512223
2023-11-10,CA,18,39512223
2023-11-11,CA,32,39512223
2023-11-12,CA,53,39512223
2023-11-13,CA,38,39512223
2023-11-14,CA,49,39512223
2023-11-15,CA,67,39512223
2023-11-16,CA,63,39512223
2023-11-17,CA,65,39512223
2023-11-18,CA,85,39512223
2023-11-19,CA,102,39512223
2023-11-20,CA,106,39512223
2023-11-21,CA,123,39512223
2023-11-22,CA,130,39512223
2023-11-23,CA,131,39512223
2023-11-24,CA,155,39512223
2023-11-25,CA,157,39512223
2023-11-26,CA,197,39512223
2023-11-27,CA,214,39512223
2023-11-28,CA,230,39512223
2023-11-29,CA,234,39512223
2023-11-30,CA,252,39512223
2023-12-01,CA,255,39512223
2023-12-02,CA,281,39512223
2023-12-03,CA,324,39512223
2023-12-04,CA,300,39512223
2023-12-05,CA,275,39512223
2023-12-06,CA,298,39512223
2023-12-07,CA,310,39512223
2023-12-08,CA,307,39512223
2023-12-09,CA,356,39512223
2023-12-10,CA,366,39512223
2023-12-11,CA,381,39512223
2023-12-12,CA,365,39512223
2023-12-13,CA,314,39512223
2023-12-14,CA,384,39512223
2023-12-15,CA,427,39512223
2023-12-16,CA,340,39512223
2023-12-17,CA,375,39512223
2023-12-18,CA,410,39512223
2023-12-19,CA,388,39512223
2023-12-20,CA,383,39512223
2023-12-21,CA,330,39512223
2023-12-22,CA,384,39512223
2023-12-23,CA,367,39512223
2023-12-24,CA,329,39512223
2023-12-25,CA,327,39512223
2023-12-26,CA,295,39512223
2023-12-27,CA,279,39512223
2023-12-28,CA,314,39512223
2023-12-29,CA,313,39512223
2023-12-30,CA,242,39512223
2023-12-31,CA,300,39512223
2024-01-01,CA,226,39512223
2024-01-02,CA,207,39512223
2024-01-03,CA,235,39512223
2024-01-04,CA,188,39512223
2024-01-05,CA,168,39512223
2024-01-06,CA,149,39512223
2024-01-07,CA,142,39512223
2024-01-08,CA,126,39512223
2024-01-09,CA,114,39512223
2024-01-10,CA,126,39512223
2024-01-11,CA,113,39512223
2024-01-12,CA,106,39512223
2024-01-13,CA,89,39512223
2024-01-14,CA,89,39512223
2024-01-15,CA,80,39512223
2024-01-16,CA,68,39512223
2024-01-17,CA,67,39512223
2024-01-18,CA,47,39512223
2024-01-19,CA,51,39512223
2024-01-20,CA,43,39512223
2024-01-21,CA,42,39512223
2024-01-22,CA,24,39512223
2024-01-23,CA,36,39512223
2024-01-24,CA,32,39512223
2024-01-25,CA,33,39512223
2024-01-26,CA,30,39512223
2024-01-27,CA,30,39512223
2024-01-28,CA,22,39512223
2024-01-29,CA,15,39512223
2024-01-30,CA,18,39512223
2024-01-31,CA,20,39512223
2024-02-01,CA,11,39512223
2024-02-02,CA,10,39512223
2024-02-03,CA,11,39512223
2024-02-04,CA,6,39512223
2024-02-05,CA,9,39512223
2024-02-06,CA,6,39512223
2024-02-07,CA,13,39512223
2024-02-08,CA,14,39512223
2024-02-09,CA,11,39512223
2024-02-10,CA,11,39512223
2024-02-11,CA,12,39512223
2024-02-12,CA,9,39512223
2024-02-13,CA,9,39512223
2024-02-14,CA,10,39512223
2024-02-15,CA,18,39512223
2024-02-16,CA,8,39512223
2024-02-17,CA,20,39512223
2024-02-18,CA,12,39512223
2024-02-19,CA,13,39512223
2024-02-20,CA,9,39512223
2024-02-21,CA,18,39512223
2024-02-22,CA,16,39512223
2024-02-23,CA,18,39512223
2024-02-24,CA,18,39512223
2024-02-25,CA,18,39512223
2024-02-26,CA,22,39512223
2024-02-27,CA,21,39512223
2024-02-28,CA,14,39512223
2024-02-29,CA,18,39512223
2024-03-01,CA,22,39512223
2024-03-02,CA,17,39512223
2024-03-03,CA,15,39512223
2024-03-04,CA,20,39512223
