date,geo_value,disease,ed_visits
2023-11-06,CA,COVID-19,144
2023-11-07,CA,COVID-19,120
2023-11-08,CA,COVID-19,151
2023-11-09,CA,COVID-19,154
2023-11-10,CA,COVID-19,134
2023-11-11,CA,COVID-19,133
2023-11-12,CA,COVID-19,158
2023-11-13,CA,COVID-19,189
2023-11-14,CA,COVID-19,208
2023-11-15,CA,COVID-19,307
2023-11-16,CA,COVID-19,259
2023-11-17,CA,COVID-19,350
2023-11-18,CA,COVID-19,369
2023-11-19,CA,COVID-19,381
2023-11-20,CA,COVID-19,401
2023-11-21,CA,COVID-19,629
2023-11-22,CA,COVID-19,449
2023-11-23,CA,COVID-19,551
2023-11-24,CA,COVID-19,422
2023-11-25,CA,COVID-19,409
2023-11-26,CA,COVID-19,349
2023-11-27,CA,COVID-19,593
2023-11-28,CA,COVID-19,740
2023-11-29,CA,COVID-19,700
2023-11-30,CA,COVID-19,767
2023-12-01,CA,COVID-19,703
2023-12-02,CA,COVID-19,688
2023-12-03,CA,COVID-19,604
2023-12-04,CA,COVID-19,1018
2023-12-05,CA,COVID-19,814
2023-12-06,CA,COVID-19,851
2023-12-07,CA,COVID-19,890
2023-12-08,CA,COVID-19,644
2023-12-09,CA,COVID-19,711
2023-12-10,CA,COVID-19,614
2023-12-11,CA,COVID-19,1092
2023-12-12,CA,COVID-19,815
2023-12-13,CA,COVID-19,539
2023-12-14,CA,COVID-19,729
2023-12-15,CA,COVID-19,711
2023-12-16,CA,COVID-19,638
2023-12-17,CA,COVID-19,502
2023-12-18,CA,COVID-19,894
2023-12-19,CA,COVID-19,716
2023-12-20,CA,COVID-19,599
2023-12-21,CA,COVID-19,536
2023-12-22,CA,COVID-19,605
2023-12-23,CA,COVID-19,354
2023-12-24,CA,COVID-19,620
2023-12-25,CA,COVID-19,708
2023-12-26,CA,COVID-19,485
2023-12-27,CA,COVID-19,528
2023-12-28,CA,COVID-19,463
2023-12-29,CA,COVID-19,322
2023-12-30,CA,COVID-19,166
2023-12-31,CA,COVID-19,178
2024-01-01,CA,COVID-19,296
2024-01-02,CA,COVID-19,299
2024-01-03,CA,COVID-19,219
2024-01-04,CA,COVID-19,188
2024-01-05,CA,COVID-19,147
2024-01-06,CA,COVID-19,68
2024-01-07,CA,COVID-19,98
2024-01-08,CA,COVID-19,113
2024-01-09,CA,COVID-19,117
2024-01-10,CA,COVID-19,74
2024-01-11,CA,COVID-19,69
2024-01-12,CA,COVID-19,84
2024-01-13,CA,COVID-19,58
2024-01-14,CA,COVID-19,26
2024-01-15,CA,COVID-19,42
2024-01-16,CA,COVID-19,53
2024-01-17,CA,COVID-19,62
2024-01-18,CA,COVID-19,42
2024-01-19,CA,COVID-19,47
2024-01-20,CA,COVID-19,32
2024-01-21,CA,COVID-19,29
2024-01-22,CA,COVID-19,19
2024-01-23,CA,COVID-19,21
2024-01-24,CA,COVID-19,28
2024-01-25,CA,COVID-19,20
2024-01-26,CA,COVID-19,9
2024-01-27,CA,COVID-19,16
2024-01-28,CA,COVID-19,15
2024-01-29,CA,COVID-19,34
2024-01-30,CA,COVID-19,30
2024-01-31,CA,COVID-19,21
2024-02-01,CA,COVID-19,19
2024-02-02,CA,COVID-19,18
2024-02-03,CA,COVID-19,24
2024-02-04,CA,COVID-19,10
2024-02-05,CA,COVID-19,25
2024-02-06,CA,COVID-19,16
2024-02-07,CA,COVID-19,27
2024-02-08,CA,COVID-19,27
2024-02-09,CA,COVID-19,29
2024-02-10,CA,COVID-19,21
2024-02-11,CA,COVID-19,17
2024-02-12,CA,COVID-19,26
2024-02-13,CA,COVID-19,25
2024-02-14,CA,COVID-19,27
2024-02-15,CA,COVID-19,24
2024-02-16,CA,COVID-19,20
2024-02-17,CA,COVID-19,21
2024-02-18,CA,COVID-19,38
2024-02-19,CA,COVID-19,41
2024-02-20,CA,COVID-19,38
2024-02-21,CA,COVID-19,42
2024-02-22,CA,COVID-19,41
2024-02-23,CA,COVID-19,32
2024-02-24,CA,COVID-19,32
2024-02-25,CA,COVID-19,27
2024-02-26,CA,COVID-19,54
2024-02-27,CA,COVID-19,45
2024-02-28,CA,COVID-19,41
2024-02-29,CA,COVID-19,26
2024-03-01,CA,COVID-19,23
2024-03-02,CA,COVID-19,19
2024-03-03,CA,COVID-19,18
2024-03-04,CA,COVID-19,24
